"id","name"
"211","Commercial Metals Co."
"212","Community Health Systems Inc."
"213","Compass Bancshares Inc"
"214","Computer Associates International Inc."
"215","Computer Sciences Corp."
"216","Compuware Corp."
"217","Comverse Technology Inc."
"218","ConAgra Foods Inc."
"219","Concord EFS Inc."
"220","Conectiv, Inc"
"221","Conoco Inc"
"222","Conseco Inc."
"223","Consolidated Freightways Corp."
"224","Consolidated Edison Inc."
"225","Constellation Brands Inc."
"226","Constellation Emergy Group Inc."
"227","Continental Airlines Inc."
"228","Convergys Corp."
"229","Cooper Cameron Corp."
"230","Cooper Industries Ltd."
"231","Cooper Tire & Rubber Co."
"232","Corn Products International Inc."
"233","Corning Inc."
"234","Costco Wholesale Corp."
"235","Countrywide Credit Industries Inc."
"236","Coventry Health Care Inc."
"237","Cox Communications Inc."
"238","Crane Co."
"239","Crompton Corp."
"240","Crown Cork & Seal Co. Inc."
"241","CSK Auto Corp."
"242","CSX Corp."
"243","Cummins Inc."
"244","CVS Corp."
"245","Cytec Industries Inc."
"246","D&K Healthcare Resources, Inc."
"247","D.R. Horton Inc."
"248","Dana Corporation"
"249","Danaher Corporation"
"250","Darden Restaurants Inc."
"251","DaVita Inc."
"252","Dean Foods Company"
"253","Deere & Company"
"254","Del Monte Foods Co"
"255","Dell Computer Corporation"
"256","Delphi Corp."
"257","Delta Air Lines Inc."
"258","Deluxe Corporation"
"259","Devon Energy Corporation"
"260","Di Giorgio Corporation"
"261","Dial Corporation"
"262","Diebold Incorporated"
"263","Dillard's Inc."
"264","DIMON Incorporated"
"265","Dole Food Company, Inc."
"266","Dollar General Corporation"
"267","Dollar Tree Stores, Inc."
"268","Dominion Resources, Inc."
"269","Domino's Pizza LLC"
"270","Dover Corporation, Inc."
"271","Dow Chemical Company"
"272","Dow Jones & Company, Inc."
"273","DPL Inc."
"274","DQE Inc."
"275","Dreyer's Grand Ice Cream, Inc."
"276","DST Systems, Inc."
"277","DTE Energy Co."
"278","E.I. Du Pont de Nemours and Company"
"279","Duke Energy Corp"
"280","Dun & Bradstreet Inc."
"281","DURA Automotive Systems Inc."
"282","DynCorp"
"283","Dynegy Inc."
"284","E*Trade Group, Inc."
"285","E.W. Scripps Company"
"286","Earthlink, Inc."
"287","Eastman Chemical Company"
"288","Eastman Kodak Company"
"289","Eaton Corporation"
"290","Echostar Communications Corporation"
"291","Ecolab Inc."
"292","Edison International"
"293","EGL Inc."
"294","El Paso Corporation"
"295","Electronic Arts Inc."
"296","Electronic Data Systems Corp."
"297","Eli Lilly and Company"
"298","EMC Corporation"
"299","Emcor Group Inc."
"300","Emerson Electric Co."
"301","Encompass Services Corporation"
"302","Energizer Holdings Inc."
"303","Energy East Corporation"
"304","Engelhard Corporation"
"305","Enron Corp."
"306","Entergy Corporation"
"307","Enterprise Products Partners L.P."
"308","EOG Resources, Inc."
"309","Equifax Inc."
"310","Equitable Resources Inc."
"311","Equity Office Properties Trust"
"312","Equity Residential Properties Trust"
"313","Estee Lauder Companies Inc."
"314","Exelon Corporation"
"315","Exide Technologies"
"316","Expeditors International of Washington Inc."
"317","Express Scripts Inc."
"318","ExxonMobil Corporation"
"319","Fairchild Semiconductor International Inc."
"320","Family Dollar Stores Inc."
"321","Farmland Industries Inc."
"322","Federal Mogul Corp."
"323","Federated Department Stores Inc."
"324","Federal Express Corp."
"325","Felcor Lodging Trust Inc."
"326","Ferro Corp."
"327","Fidelity National Financial Inc."
"328","Fifth Third Bancorp"
"329","First American Financial Corp."
"330","First Data Corp."
"331","First National of Nebraska Inc."
"332","First Tennessee National Corp."
"333","FirstEnergy Corp."
"334","Fiserv Inc."
"335","Fisher Scientific International Inc."
"336","FleetBoston Financial Co."
"337","Fleetwood Enterprises Inc."
"338","Fleming Companies Inc."
"339","Flowers Foods Inc."
"340","Flowserv Corp"
"341","Fluor Corp"
"342","FMC Corp"
"343","Foamex International Inc"
"344","Foot Locker Inc"
"345","Footstar Inc."
"346","Ford Motor Co"
"347","Forest Laboratories Inc."
"348","Fortune Brands Inc."
"349","Foster Wheeler Ltd."
"350","FPL Group Inc."
"351","Franklin Resources Inc."
"352","Freeport McMoran Copper & Gold Inc."
"353","Frontier Oil Corp"
"354","Furniture Brands International Inc."
"355","Gannett Co., Inc."
"356","Gap Inc."
"357","Gateway Inc."
"358","GATX Corporation"
"359","Gemstar-TV Guide International Inc."
"360","GenCorp Inc."
"361","General Cable Corporation"
"362","General Dynamics Corporation"
"363","General Electric Company"
"364","General Mills Inc"
"365","General Motors Corporation"
"366","Genesis Health Ventures Inc."
"367","Gentek Inc."
"368","Gentiva Health Services Inc."
"369","Genuine Parts Company"
"370","Genuity Inc."
"371","Genzyme Corporation"
"372","Georgia Gulf Corporation"
"373","Georgia-Pacific Corporation"
"374","Gillette Company"
"375","Gold Kist Inc."
"376","Golden State Bancorp Inc."
"377","Golden West Financial Corporation"
"378","Goldman Sachs Group Inc."
"379","Goodrich Corporation"
"380","The Goodyear Tire & Rubber Company"
"381","Granite Construction Incorporated"
"382","Graybar Electric Company Inc."
"383","Great Lakes Chemical Corporation"
"384","Great Plains Energy Inc."
"385","GreenPoint Financial Corp."
"386","Greif Bros. Corporation"
"387","Grey Global Group Inc."
"388","Group 1 Automotive Inc."
"389","Guidant Corporation"
"390","H&R Block Inc."
"391","H.B. Fuller Company"
"392","H.J. Heinz Company"
"393","Halliburton Co."
"394","Harley-Davidson Inc."
"395","Harman International Industries Inc."
"396","Harrah's Entertainment Inc."
"397","Harris Corp."
"398","Harsco Corp."
"399","Hartford Financial Services Group Inc."
"400","Hasbro Inc."
"401","Hawaiian Electric Industries Inc."
"402","HCA Inc."
"403","Health Management Associates Inc."
"404","Health Net Inc."
"405","Healthsouth Corp"
"406","Henry Schein Inc."
"407","Hercules Inc."
"408","Herman Miller Inc."
"409","Hershey Foods Corp."
"410","Hewlett-Packard Company"
"411","Hibernia Corp."
"412","Hillenbrand Industries Inc."
"413","Hilton Hotels Corp."
"414","Hollywood Entertainment Corp."
"415","Home Depot Inc."
"416","Hon Industries Inc."
"417","Honeywell International Inc."
"418","Hormel Foods Corp."
"419","Host Marriott Corp."
"420","Household International Corp."
"421","Hovnanian Enterprises Inc."
"422","Hub Group Inc."
"423","Hubbell Inc."
"424","Hughes Supply Inc."
"425","Humana Inc."
"426","Huntington Bancshares Inc."
"427","Idacorp Inc."
"428","IDT Corporation"
"429","IKON Office Solutions Inc."
"430","Illinois Tool Works Inc."
"431","IMC Global Inc."
"432","Imperial Sugar Company"
"433","IMS Health Inc."
"434","Ingles Market Inc"
"435","Ingram Micro Inc."
"436","Insight Enterprises Inc."
"437","Integrated Electrical Services Inc."
"438","Intel Corporation"
"439","International Paper Co."
"440","Interpublic Group of Companies Inc."
"441","Interstate Bakeries Corporation"
"442","International Business Machines Corp."
"443","International Flavors & Fragrances Inc."
"444","International Multifoods Corporation"
"445","Intuit Inc."
"446","IT Group Inc."
"447","ITT Industries Inc."
"448","Ivax Corp."
"449","J.B. Hunt Transport Services Inc."
"450","J.C. Penny Co."
"451","J.P. Morgan Chase & Co."
"452","Jabil Circuit Inc."
"453","Jack In The Box Inc."
"454","Jacobs Engineering Group Inc."
"455","JDS Uniphase Corp."
"456","Jefferson-Pilot Co."
"457","John Hancock Financial Services Inc."
"458","Johnson & Johnson"
"459","Johnson Controls Inc."
"460","Jones Apparel Group Inc."
"461","KB Home"
"462","Kellogg Company"
"463","Kellwood Company"
"464","Kelly Services Inc."
"465","Kemet Corp."
"466","Kennametal Inc."
"467","Kerr-McGee Corporation"
"468","KeyCorp"
"469","KeySpan Corp."
"470","Kimball International Inc."
"471","Kimberly-Clark Corporation"
"472","Kindred Healthcare Inc."
"473","KLA-Tencor Corporation"
"474","K-Mart Corp."
"475","Knight-Ridder Inc."
"476","Kohl's Corp."
"477","KPMG Consulting Inc."
"478","Kroger Co."
"479","L-3 Communications Holdings Inc."
"480","Laboratory Corporation of America Holdings"
"481","Lam Research Corporation"
"482","LandAmerica Financial Group Inc."
"483","Lands' End Inc."
"484","Landstar System Inc."
"485","La-Z-Boy Inc."
"486","Lear Corporation"
"487","Legg Mason Inc."
"488","Leggett & Platt Inc."
"489","Lehman Brothers Holdings Inc."
"490","Lennar Corporation"
"491","Lennox International Inc."
"492","Level 3 Communications Inc."
"493","Levi Strauss & Co."
"494","Lexmark International Inc."
"495","Limited Inc."
"496","Lincoln National Corporation"
"497","Linens 'n Things Inc."
"498","Lithia Motors Inc."
"499","Liz Claiborne Inc."
"500","Lockheed Martin Corporation"
"501","Loews Corporation"
"502","Longs Drug Stores Corporation"
"503","Louisiana-Pacific Corporation"
"504","Lowe's Companies Inc."
"505","LSI Logic Corporation"
"506","The LTV Corporation"
"507","The Lubrizol Corporation"
"508","Lucent Technologies Inc."
"509","Lyondell Chemical Company"
"510","M & T Bank Corporation"
"511","Magellan Health Services Inc."
"512","Mail-Well Inc."
